파일 경로,URL,언어,화면상 저자 표기,meta author,JSON-LD author,의료 검수자 표기,reviewedBy 또는 medicalReviewer,게시일,수정일,검토일,현재 표기 문제,권장 표준 표기,실제 검수 이력 확인 필요 여부,수정 위험도,예상 수정 파일
blog/homocysteine-dementia-b-vitamins/index.html,https://nervlocklab.com/blog/homocysteine-dementia-b-vitamins/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"July 5, 2026",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/levodopa-long-term-misconceptions/index.html,https://nervlocklab.com/blog/levodopa-long-term-misconceptions/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"June 1, 2026",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/memory-loss-and-dementia/index.html,https://nervlocklab.com/blog/memory-loss-and-dementia/,en,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,Jeehyun Ham,"Jeehyun Ham, M.D.",Jeehyun Ham,2026-07-18,2026-07-18,2026-07-18,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/memory-loss-and-dementia/index.html
blog/nerve-health-foods/index.html,https://nervlocklab.com/blog/nerve-health-foods/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"August 22, 2024",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/nocturnal-nerve-discomfort/index.html,https://nervlocklab.com/blog/nocturnal-nerve-discomfort/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"September 3, 2024",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/palpitations-dizziness-digestive-symptoms-autonomic-nervous-system/index.html,https://nervlocklab.com/blog/palpitations-dizziness-digestive-symptoms-autonomic-nervous-system/,en,"article-meta=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,Jeehyun Ham,"Jeehyun Ham, M.D.",Jeehyun Ham,2026-07-19,2026-07-19,2026-07-19,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/palpitations-dizziness-digestive-symptoms-autonomic-nervous-system/index.html
blog/parkinson-caregiver-guide/index.html,https://nervlocklab.com/blog/parkinson-caregiver-guide/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,,,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","'Dr. Claire Ham (Jeehyun Ham, M.D.)' → 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/parkinson-constipation/index.html,https://nervlocklab.com/blog/parkinson-constipation/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,,,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","'Dr. Claire Ham (Jeehyun Ham, M.D.)' → 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/parkinson-dopamine-neuroinflammation/index.html,https://nervlocklab.com/blog/parkinson-dopamine-neuroinflammation/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"February 27, 2026",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/parkinson-dyskinesia/index.html,https://nervlocklab.com/blog/parkinson-dyskinesia/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,,,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","'Dr. Claire Ham (Jeehyun Ham, M.D.)' → 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/parkinson-early-signs/index.html,https://nervlocklab.com/blog/parkinson-early-signs/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"February 27, 2026",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/parkinson-exercise-therapy/index.html,https://nervlocklab.com/blog/parkinson-exercise-therapy/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"March 8, 2026",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/parkinson-genetics/index.html,https://nervlocklab.com/blog/parkinson-genetics/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"May 31, 2026",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/parkinson-glutathione/index.html,https://nervlocklab.com/blog/parkinson-glutathione/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,,,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","'Dr. Claire Ham (Jeehyun Ham, M.D.)' → 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/parkinson-medication-dosage/index.html,https://nervlocklab.com/blog/parkinson-medication-dosage/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"June 3, 2026",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/parkinson-medication-management/index.html,https://nervlocklab.com/blog/parkinson-medication-management/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"February 28, 2026",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/parkinson-pain-management/index.html,https://nervlocklab.com/blog/parkinson-pain-management/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"March 1, 2026",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/parkinson-plus-syndromes/index.html,https://nervlocklab.com/blog/parkinson-plus-syndromes/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"June 2, 2026",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/parkinson-rem-sleep-disorder/index.html,https://nervlocklab.com/blog/parkinson-rem-sleep-disorder/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,,,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","'Dr. Claire Ham (Jeehyun Ham, M.D.)' → 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/parkinsonism-differential-causes/index.html,https://nervlocklab.com/blog/parkinsonism-differential-causes/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"May 17, 2026",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/peripheral-neuropathy/index.html,https://nervlocklab.com/blog/peripheral-neuropathy/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"November 12, 2024",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/phosphatidylserine-memory/index.html,https://nervlocklab.com/blog/phosphatidylserine-memory/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"June 20, 2026",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/postherpetic-neuralgia/index.html,https://nervlocklab.com/blog/postherpetic-neuralgia/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"October 28, 2024",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/rTG-오메가3-차이/index.html,https://nervlocklab.com/blog/rTG-오메가3-차이/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 6. 28,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/rTG-오메가3-차이/index.html
blog/rtg-omega3-bioavailability/index.html,https://nervlocklab.com/blog/rtg-omega3-bioavailability/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"June 28, 2026",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/sleep-memory-focus/index.html,https://nervlocklab.com/blog/sleep-memory-focus/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,"Jeehyun Ham, M.D.",,2026-07-17,,2026-07-17,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",Y,낮음(기계적 문자열 치환 가능),완료
blog/vitamin-b12-methylcobalamin/index.html,https://nervlocklab.com/blog/vitamin-b12-methylcobalamin/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"October 8, 2024",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/vitamin-b12-nerve/index.html,https://nervlocklab.com/blog/vitamin-b12-nerve/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"October 8, 2024",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/what-does-the-autonomic-nervous-system-control/index.html,https://nervlocklab.com/blog/what-does-the-autonomic-nervous-system-control/,en,"article-meta=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,Jeehyun Ham,"Jeehyun Ham, M.D.",Jeehyun Ham,2026-07-18,2026-07-18,2026-07-18,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/what-does-the-autonomic-nervous-system-control/index.html
blog/why-cant-i-focus/index.html,https://nervlocklab.com/blog/why-cant-i-focus/,en,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,Jeehyun Ham,"Jeehyun Ham, M.D.",Jeehyun Ham,2026-07-17,2026-07-17,2026-07-17,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/why-cant-i-focus/index.html
blog/why-concentration-declines-dopamine-sleep-adhd/index.html,https://nervlocklab.com/blog/why-concentration-declines-dopamine-sleep-adhd/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,Jeehyun Ham,"Jeehyun Ham, M.D.",Jeehyun Ham,2026-07-17,2026-07-17,2026-07-17,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/why-concentration-declines-dopamine-sleep-adhd/index.html
blog/기억력-치매-차이/index.html,https://nervlocklab.com/blog/기억력-치매-차이/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,Jeehyun Ham,"Jeehyun Ham, M.D.",Jeehyun Ham,2026-07-18,2026-07-18,2026-07-18,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/기억력-치매-차이/index.html
blog/뇌-영양/index.html,https://nervlocklab.com/blog/뇌-영양/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,Jeehyun Ham,"Jeehyun Ham, M.D.",Jeehyun Ham,2026-07-18,2026-07-18,2026-07-18,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/뇌-영양/index.html
blog/대상포진-신경통/index.html,https://nervlocklab.com/blog/대상포진-신경통/,ko,"함지현 (상단 바이라인) / Jeehyun Ham, M.D. (author-card·sig-block, 이번 작업 범위 밖이라 미변경)",,,,,2024. 10. 28,,,"상단 바이라인의 Dr. Claire Ham은 해결됨(2026-07-20, →함지현). 단, 같은 페이지 author-card/sig-block은 여전히 영문 'Jeehyun Ham, M.D.'로 표시되어 상단(한국어)과 하단(영문) 표기가 혼재하는 새로운 불일치가 남아있음 — 향후 결정 필요.","상단 바이라인: 함지현(적용 완료). author-card/sig-block의 Jeehyun Ham, M.D.는 2026-07-20 작업에서 의도적으로 유지 결정(교체 대상 아님) — 페이지 내 한/영 혼재 여부를 별도 정책으로 정리할지는 인간 결정 필요.",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),부분 완료(바이라인만)
blog/두근거림-어지럼-소화불편-자율신경/index.html,https://nervlocklab.com/blog/두근거림-어지럼-소화불편-자율신경/,ko,"article-meta=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,Jeehyun Ham,"Jeehyun Ham, M.D.",Jeehyun Ham,2026-07-19,2026-07-19,2026-07-19,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/두근거림-어지럼-소화불편-자율신경/index.html
blog/레보도파-오해/index.html,https://nervlocklab.com/blog/레보도파-오해/,ko,"article-meta=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 6. 1,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/레보도파-오해/index.html
blog/말초신경병증/index.html,https://nervlocklab.com/blog/말초신경병증/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2024. 11. 12,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/말초신경병증/index.html
blog/브레인포그-신경과학/index.html,https://nervlocklab.com/blog/브레인포그-신경과학/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,,,2026. 6. 10,,,없음(이미 표준 일치),변경 불필요,N/A(검수자 필드 없음),해당 없음(이미 표준),blog/브레인포그-신경과학/index.html
blog/브레인포그-원인/index.html,https://nervlocklab.com/blog/브레인포그-원인/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,Jeehyun Ham,"Jeehyun Ham, M.D.",Jeehyun Ham,2026-07-18,2026-07-18,2026-07-18,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/브레인포그-원인/index.html
blog/비타민B12-신경/index.html,https://nervlocklab.com/blog/비타민B12-신경/,ko,"함지현 (상단 바이라인) / Jeehyun Ham, M.D. (author-card·sig-block, 이번 작업 범위 밖이라 미변경)",,,,,2024. 10. 08,,,"상단 바이라인의 Dr. Claire Ham은 해결됨(2026-07-20, →함지현). 단, 같은 페이지 author-card/sig-block은 여전히 영문 'Jeehyun Ham, M.D.'로 표시되어 상단(한국어)과 하단(영문) 표기가 혼재하는 새로운 불일치가 남아있음 — 향후 결정 필요.","상단 바이라인: 함지현(적용 완료). author-card/sig-block의 Jeehyun Ham, M.D.는 2026-07-20 작업에서 의도적으로 유지 결정(교체 대상 아님) — 페이지 내 한/영 혼재 여부를 별도 정책으로 정리할지는 인간 결정 필요.",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),부분 완료(바이라인만)
blog/수면-기억력-집중력/index.html,https://nervlocklab.com/blog/수면-기억력-집중력/,ko,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,,"Jeehyun Ham, M.D.",,2026-07-17,,2026-07-17,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/수면-기억력-집중력/index.html
blog/신경-건강-음식/index.html,https://nervlocklab.com/blog/신경-건강-음식/,ko,"함지현 (상단 바이라인) / Jeehyun Ham, M.D. (author-card·sig-block, 이번 작업 범위 밖이라 미변경)",,,,,2024. 08. 22,,,"상단 바이라인의 Dr. Claire Ham은 해결됨(2026-07-20, →함지현). 단, 같은 페이지 author-card/sig-block은 여전히 영문 'Jeehyun Ham, M.D.'로 표시되어 상단(한국어)과 하단(영문) 표기가 혼재하는 새로운 불일치가 남아있음 — 향후 결정 필요.","상단 바이라인: 함지현(적용 완료). author-card/sig-block의 Jeehyun Ham, M.D.는 2026-07-20 작업에서 의도적으로 유지 결정(교체 대상 아님) — 페이지 내 한/영 혼재 여부를 별도 정책으로 정리할지는 인간 결정 필요.",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),부분 완료(바이라인만)
blog/알파리포산/index.html,https://nervlocklab.com/blog/알파리포산/,ko,"함지현 (상단 바이라인) / Jeehyun Ham, M.D. (author-card·sig-block, 이번 작업 범위 밖이라 미변경)",,,,,2024. 09. 17,,,"상단 바이라인의 Dr. Claire Ham은 해결됨(2026-07-20, →함지현). 단, 같은 페이지 author-card/sig-block은 여전히 영문 'Jeehyun Ham, M.D.'로 표시되어 상단(한국어)과 하단(영문) 표기가 혼재하는 새로운 불일치가 남아있음 — 향후 결정 필요.","상단 바이라인: 함지현(적용 완료). author-card/sig-block의 Jeehyun Ham, M.D.는 2026-07-20 작업에서 의도적으로 유지 결정(교체 대상 아님) — 페이지 내 한/영 혼재 여부를 별도 정책으로 정리할지는 인간 결정 필요.",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),부분 완료(바이라인만)
