content_id,file_path,url,language,page_type,title,h1,meta_title,meta_description,current_category_tag,category_label_drift,author_display,author_standard_mismatch,medical_reviewer,published_date,reviewed_date,canonical,hreflang,has_hreflang,structured_data_types,has_structured_data,reference_count,internal_links,external_links,has_product_cta,product_cta_type,mechanism_overreach_without_cta,keyword_hits,risk_grade
alpha-lipoic-acid-nerve,blog/alpha-lipoic-acid-nerve/index.html,https://nervlocklab.com/blog/alpha-lipoic-acid-nerve/,en,Blog,"Alpha-Lipoic Acid and Peripheral Nerve Health: Mechanisms, Evidence, and Clinical Application | NervLock","Alpha-Lipoic Acid and Peripheral Nerve Health: Mechanisms, Evidence, and Clinical Application","Alpha-Lipoic Acid and Peripheral Nerve Health: Mechanisms, Evidence, and Clinical Application | NervLock",,Nutrition &amp; Metabolism,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/alpha-lipoic-acid-nerve/,,N,,N,0,2,0,N,,N,"{""NF-κB"": 4}",B
levodopa-long-term-misconceptions,blog/levodopa-long-term-misconceptions/index.html,https://nervlocklab.com/blog/levodopa-long-term-misconceptions/,en,Blog,Levodopa Long-Term Use in Parkinson's Disease: Separating Evidence from Misconception | NervLock,Levodopa Long-Term Use in Parkinson's Disease: Separating Evidence from Misconception,Levodopa Long-Term Use in Parkinson's Disease: Separating Evidence from Misconception | NervLock,"Levodopa dyskinesia is not tolerance. Evidence from the LEAP trial on initiation timing, parkinsonism-hyperpyrexia syndrome risks, and optimizing long-term therapy.",Neurological Symptoms &amp; Conditions,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/levodopa-long-term-misconceptions/,,N,,N,0,2,0,N,,N,,B
memory-loss-and-dementia,blog/memory-loss-and-dementia/index.html,https://nervlocklab.com/blog/memory-loss-and-dementia/,en,Blog,Memory Loss vs. Dementia: Normal Aging and Warning Signs | NervLock,"Is Memory Loss Always Dementia? Normal Aging, MCI, and Warning Signs",Memory Loss vs. Dementia: Normal Aging and Warning Signs | NervLock,"Memory changes do not always mean dementia. Learn the differences among normal aging, subjective cognitive decline, mild cognitive impairment, and dementia—and when to seek medical care.",Brain Health &amp; Lifestyle,N,"Jeehyun Ham, M.D.",N,,,,https://nervlocklab.com/blog/memory-loss-and-dementia/,ko->https://nervlocklab.com/blog/기억력-치매-차이/; en->https://nervlocklab.com/blog/memory-loss-and-dementia/; x-default->https://nervlocklab.com/blog/기억력-치매-차이/,Y,"Article, BreadcrumbList, ListItem, Organization, Person, WebPage",Y,15,5,15,N,,N,,A
nerve-health-foods,blog/nerve-health-foods/index.html,https://nervlocklab.com/blog/nerve-health-foods/,en,Blog,Diet and Neural Health: 5 Foods That Harm Your Nerves | NervLock,Diet and Neural Health: 5 Foods That Harm Your Nerves,Diet and Neural Health: 5 Foods That Harm Your Nerves | NervLock,,Nutrition &amp; Metabolism,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/foods-nerve-health/,,N,,N,0,2,0,N,,N,"{""curcumin"": 2, ""NF-κB"": 1, ""5-LOX"": 1}",B
nocturnal-nerve-discomfort,blog/nocturnal-nerve-discomfort/index.html,https://nervlocklab.com/blog/nocturnal-nerve-discomfort/,en,Blog,Why Peripheral Nerve Symptoms Worsen at Night: Circadian Biology and Pain Amplification | NervLock,Why Peripheral Nerve Symptoms Worsen at Night: Circadian Biology and Pain Amplification,Why Peripheral Nerve Symptoms Worsen at Night: Circadian Biology and Pain Amplification | NervLock,,Pain &amp; Autonomic Health,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/nocturnal-nerve-discomfort/,,N,,N,0,2,0,N,,N,"{""NF-κB"": 1}",B
palpitations-dizziness-digestive-symptoms-autonomic-nervous-system,blog/palpitations-dizziness-digestive-symptoms-autonomic-nervous-system/index.html,https://nervlocklab.com/blog/palpitations-dizziness-digestive-symptoms-autonomic-nervous-system/,en,Blog,"Do Palpitations, Dizziness, and Indigestion Mean an Autonomic Problem? | NervLock","Do Palpitations, Dizziness, and Indigestion Together Mean an Autonomic Problem?","Do Palpitations, Dizziness, and Indigestion Mean an Autonomic Problem? | NervLock","Learn how palpitations, dizziness, and indigestion may be related to autonomic function—and why symptoms alone cannot diagnose an autonomic disorder.",Pain &amp; Autonomic Health,N,"Jeehyun Ham, M.D.",N,,,,https://nervlocklab.com/blog/palpitations-dizziness-digestive-symptoms-autonomic-nervous-system/,ko->https://nervlocklab.com/blog/두근거림-어지럼-소화불편-자율신경/; en->https://nervlocklab.com/blog/palpitations-dizziness-digestive-symptoms-autonomic-nervous-system/; x-default->https://nervlocklab.com/blog/두근거림-어지럼-소화불편-자율신경/,Y,"Article, BreadcrumbList, ListItem, Organization, Person, WebPage",Y,4,2,4,N,,N,,A
parkinson-caregiver-guide,blog/parkinson-caregiver-guide/index.html,https://nervlocklab.com/blog/parkinson-caregiver-guide/,en,Blog,Parkinson's Caregiver Guide | NervLock,,Parkinson's Caregiver Guide | NervLock,"A clinical guide for Parkinson's disease caregivers covering levodopa timing, contraindicated medications, fall prevention, sleep safety, and caregiver burden assessment.",,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/parkinson-caregiver-guide/,,N,,N,0,5,0,N,,N,,B
parkinson-constipation,blog/parkinson-constipation/index.html,https://nervlocklab.com/blog/parkinson-constipation/,en,Blog,Constipation in Parkinson's Disease | NervLock,,Constipation in Parkinson's Disease | NervLock,"Constipation affects up to 80% of Parkinson's patients and can impair levodopa absorption. Learn about enteric nervous system pathology, contraindicated antiemetics, and evidence-based management strategies.",,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/parkinson-constipation/,,N,,N,0,5,0,N,,N,,B
parkinson-dopamine-neuroinflammation,blog/parkinson-dopamine-neuroinflammation/index.html,https://nervlocklab.com/blog/parkinson-dopamine-neuroinflammation/,en,Blog,"The Pathophysiology of Parkinson's Disease: Dopamine, Alpha-Synuclein, and Neuroinflammation | NervLock","The Pathophysiology of Parkinson's Disease: Dopamine, Alpha-Synuclein, and Neuroinflammation","The Pathophysiology of Parkinson's Disease: Dopamine, Alpha-Synuclein, and Neuroinflammation | NervLock",,Neurological Symptoms &amp; Conditions,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/parkinson-dopamine-neuroinflammation/,,N,,N,0,2,0,N,,N,"{""NF-κB"": 1, ""5-LOX"": 1}",B
parkinson-dyskinesia,blog/parkinson-dyskinesia/index.html,https://nervlocklab.com/blog/parkinson-dyskinesia/,en,Blog,Levodopa-Induced Dyskinesia in Parkinson's Disease | NervLock,,Levodopa-Induced Dyskinesia in Parkinson's Disease | NervLock,"Levodopa-induced dyskinesia (LID) emerges from maladaptive striatal neuroplasticity driven by pulsatile dopaminergic stimulation. Learn its mechanisms, clinical classification, and management from dose fractionation to DBS.",,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/parkinson-dyskinesia/,,N,,N,0,5,0,N,,N,,B
parkinson-early-signs,blog/parkinson-early-signs/index.html,https://nervlocklab.com/blog/parkinson-early-signs/,en,Blog,Early Signs of Parkinson's Disease: The Prodromal Signals That Precede Motor Symptoms | NervLock,Early Signs of Parkinson's Disease: The Prodromal Signals That Precede Motor Symptoms,Early Signs of Parkinson's Disease: The Prodromal Signals That Precede Motor Symptoms | NervLock,,Neurological Symptoms &amp; Conditions,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/parkinson-early-signs/,,N,,N,0,2,0,N,,N,,B
parkinson-exercise-therapy,blog/parkinson-exercise-therapy/index.html,https://nervlocklab.com/blog/parkinson-exercise-therapy/,en,Blog,Exercise as Medicine in Parkinson's Disease: Neurobiological Mechanisms and Clinical Evidence | NervLock,Exercise as Medicine in Parkinson's Disease: Neurobiological Mechanisms and Clinical Evidence,Exercise as Medicine in Parkinson's Disease: Neurobiological Mechanisms and Clinical Evidence | NervLock,,Neurological Symptoms &amp; Conditions,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/parkinson-exercise-therapy/,,N,,N,0,2,0,N,,N,"{""mechanistic complementarity"": 1}",B
parkinson-genetics,blog/parkinson-genetics/index.html,https://nervlocklab.com/blog/parkinson-genetics/,en,Blog,"The Genetics of Parkinson's Disease: Risk, Penetrance, and Clinical Implications | NervLock","The Genetics of Parkinson's Disease: Risk, Penetrance, and Clinical Implications","The Genetics of Parkinson's Disease: Risk, Penetrance, and Clinical Implications | NervLock","LRRK2, GBA1, SNCA, PINK1, PARKIN — monogenic Parkinson's disease, incomplete penetrance, and the indications for genetic testing. Evidence-based guidance from a neurologist.",Neurological Symptoms &amp; Conditions,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/parkinson-genetics/,,N,,N,0,2,0,N,,N,,B
parkinson-glutathione,blog/parkinson-glutathione/index.html,https://nervlocklab.com/blog/parkinson-glutathione/,en,Blog,Glutathione Depletion in Parkinson's Disease | NervLock,,Glutathione Depletion in Parkinson's Disease | NervLock,"The substantia nigra in Parkinson's disease shows 40-50% GSH depletion at post-mortem. Explore the neurochemistry of glutathione, the challenge of replenishment, and current evidence for IV and dietary strategies.",,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/parkinson-glutathione/,,N,,N,0,5,0,N,,Y,"{""curcumin"": 1}",B
parkinson-medication-dosage,blog/parkinson-medication-dosage/index.html,https://nervlocklab.com/blog/parkinson-medication-dosage/,en,Blog,"Why Levodopa Doses Increase Over Time in Parkinson's Disease: Disease Progression, Not Tolerance | NervLock","Why Levodopa Doses Increase Over Time in Parkinson's Disease: Disease Progression, Not Tolerance","Why Levodopa Doses Increase Over Time in Parkinson's Disease: Disease Progression, Not Tolerance | NervLock",Levodopa dose escalation in Parkinson's disease reflects disease progression — not pharmacological tolerance. Three mechanisms explained with clinical evidence.,Neurological Symptoms &amp; Conditions,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/parkinson-medication-dosage/,,N,,N,0,2,0,N,,N,,B
parkinson-medication-management,blog/parkinson-medication-management/index.html,https://nervlocklab.com/blog/parkinson-medication-management/,en,Blog,Pharmacological Management of Parkinson's Disease: A Neurologist's Evidence-Based Overview | NervLock,Pharmacological Management of Parkinson's Disease: A Neurologist's Evidence-Based Overview,Pharmacological Management of Parkinson's Disease: A Neurologist's Evidence-Based Overview | NervLock,,Neurological Symptoms &amp; Conditions,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/parkinson-medication-management/,,N,,N,0,2,0,N,,N,,B
parkinson-pain-management,blog/parkinson-pain-management/index.html,https://nervlocklab.com/blog/parkinson-pain-management/,en,Blog,"Pain in Parkinson's Disease: Pathophysiology, Classification, and Clinical Management | NervLock","Pain in Parkinson's Disease: Pathophysiology, Classification, and Clinical Management","Pain in Parkinson's Disease: Pathophysiology, Classification, and Clinical Management | NervLock",,Pain &amp; Autonomic Health,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/parkinson-pain-management/,,N,,N,0,2,0,N,,N,,B
parkinson-plus-syndromes,blog/parkinson-plus-syndromes/index.html,https://nervlocklab.com/blog/parkinson-plus-syndromes/,en,Blog,Parkinson's Disease vs. Parkinson-Plus Syndromes: A Clinical Differential Diagnosis Guide | NervLock,Parkinson's Disease vs. Parkinson-Plus Syndromes: A Clinical Differential Diagnosis Guide,Parkinson's Disease vs. Parkinson-Plus Syndromes: A Clinical Differential Diagnosis Guide | NervLock,"MSA, PSP, Lewy body dementia, and corticobasal syndrome — clinical features, red flags, and levodopa response that distinguish Parkinson-plus syndromes from Parkinson's disease.",Neurological Symptoms &amp; Conditions,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/parkinson-plus-syndromes/,,N,,N,0,2,0,N,,N,,B
parkinson-rem-sleep-disorder,blog/parkinson-rem-sleep-disorder/index.html,https://nervlocklab.com/blog/parkinson-rem-sleep-disorder/,en,Blog,REM Sleep Behavior Disorder in Parkinson's Disease | NervLock,,REM Sleep Behavior Disorder in Parkinson's Disease | NervLock,"REM sleep behavior disorder (RBD) is among the earliest and most predictive biomarkers of Parkinson's disease. Learn the neuroscience behind REM atonia loss, clinical presentation, and current management strategies.",,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/parkinson-rem-sleep-disorder/,,N,,N,0,5,0,N,,N,,B
parkinsonism-differential-causes,blog/parkinsonism-differential-causes/index.html,https://nervlocklab.com/blog/parkinsonism-differential-causes/,en,Blog,Beyond Parkinson's Disease: Understanding the Differential Diagnosis of Parkinsonism | NervLock,Beyond Parkinson's Disease: Understanding the Differential Diagnosis of Parkinsonism,Beyond Parkinson's Disease: Understanding the Differential Diagnosis of Parkinsonism | NervLock,"Drug-induced parkinsonism, vascular parkinsonism, NPH, and atypical Parkinson-plus syndromes — a neurologist's clinical framework for differential diagnosis of parkinsonism.",Neurological Symptoms &amp; Conditions,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/parkinsonism-differential-causes/,,N,,N,0,2,0,N,,N,,B
peripheral-neuropathy,blog/peripheral-neuropathy/index.html,https://nervlocklab.com/blog/peripheral-neuropathy/,en,Blog,"What is Peripheral Neuropathy? Symptoms, Causes & Neurologist's Perspective | NervLock","What is Peripheral Neuropathy? Symptoms, Causes & Neurologist's Perspective","What is Peripheral Neuropathy? Symptoms, Causes & Neurologist's Perspective | NervLock",,Pain &amp; Autonomic Health,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/peripheral-neuropathy/,,N,,N,0,0,0,N,,N,"{""curcumin"": 7, ""Aflapin"": 4, ""NF-κB"": 6, ""5-LOX"": 6}",B
phosphatidylserine-memory,blog/phosphatidylserine-memory/index.html,https://nervlocklab.com/blog/phosphatidylserine-memory/,en,Blog,Phosphatidylserine and Memory: The Neurobiological Case | NervLock,Phosphatidylserine and Memory: The Neurobiological Case for a Clinically Recognized Nutrient,Phosphatidylserine and Memory: The Neurobiological Case | NervLock,,Nutrition &amp; Metabolism,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/phosphatidylserine-memory/,,N,,N,0,2,0,N,,N,"{""co-formulation"": 1}",B
postherpetic-neuralgia,blog/postherpetic-neuralgia/index.html,https://nervlocklab.com/blog/postherpetic-neuralgia/,en,Blog,Postherpetic Neuralgia: Why Pain Persists Long After the Rash Has Healed | NervLock,Postherpetic Neuralgia: Why Pain Persists Long After the Rash Has Healed,Postherpetic Neuralgia: Why Pain Persists Long After the Rash Has Healed | NervLock,,Pain &amp; Autonomic Health,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/postherpetic-neuralgia/,,N,,N,0,2,0,N,,N,"{""NF-κB"": 1}",B
rTG-오메가3-차이,blog/rTG-오메가3-차이/index.html,https://nervlocklab.com/blog/rTG-오메가3-차이/,ko,Blog,"rTG 오메가3, 일반 오메가3와 뭐가 다른가 — 흡수율의 과학 | NervLock","rTG 오메가3, 일반 오메가3와 뭐가 다른가 — 신경과 전문의가 설명하는 흡수율의 과학","rTG 오메가3, 일반 오메가3와 뭐가 다른가 — 흡수율의 과학 | NervLock",,영양·대사,N,"Jeehyun Ham, M.D.",N,,,,,,N,,N,0,2,0,N,,N,,B
rtg-omega3-bioavailability,blog/rtg-omega3-bioavailability/index.html,https://nervlocklab.com/blog/rtg-omega3-bioavailability/,en,Blog,rTG Omega-3: Why Molecular Form Determines Bioavailability | NervLock,rTG Omega-3: Why Molecular Form Determines Bioavailability — A Neurologist's Guide,rTG Omega-3: Why Molecular Form Determines Bioavailability | NervLock,,Nutrition &amp; Metabolism,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/rtg-omega3-bioavailability/,,N,,N,0,2,0,N,,N,"{""5-LOX"": 1}",B
sleep-memory-focus,blog/sleep-memory-focus/index.html,https://nervlocklab.com/blog/sleep-memory-focus/,en,Blog,Sleep and Brain Health: How Rest Shapes Memory and Focus | NervLock,Sleep and Brain Health How Rest Shapes Memory and Focus,Sleep and Brain Health: How Rest Shapes Memory and Focus | NervLock,,Brain Health &amp; Lifestyle,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/sleep-memory-focus/,,N,,N,0,4,0,N,,N,,B
vitamin-b12-methylcobalamin,blog/vitamin-b12-methylcobalamin/index.html,https://nervlocklab.com/blog/vitamin-b12-methylcobalamin/,en,Blog,Vitamin B12 and Nerve Health: Why Form Matters — Methylcobalamin vs Cyanocobalamin | NervLock,Vitamin B12 and Nerve Health: Why Form Matters — Methylcobalamin vs Cyanocobalamin,Vitamin B12 and Nerve Health: Why Form Matters — Methylcobalamin vs Cyanocobalamin | NervLock,,Nutrition &amp; Metabolism,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/vitamin-b12-methylcobalamin/,,N,,N,0,2,0,N,,N,,B
vitamin-b12-nerve,blog/vitamin-b12-nerve/index.html,https://nervlocklab.com/blog/vitamin-b12-nerve/,en,Blog,Methylcobalamin vs. Cyanocobalamin: What Your Nerves Actually Need | NervLock,Methylcobalamin vs. Cyanocobalamin: What Your Nerves Actually Need,Methylcobalamin vs. Cyanocobalamin: What Your Nerves Actually Need | NervLock,,Nutrition &amp; Metabolism,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/vitamin-b12-methylcobalamin/,,N,,N,0,2,0,N,,N,,B
what-does-the-autonomic-nervous-system-control,blog/what-does-the-autonomic-nervous-system-control/index.html,https://nervlocklab.com/blog/what-does-the-autonomic-nervous-system-control/,en,Blog,What Does the Autonomic Nervous System Control? | NervLock,What Does the Autonomic Nervous System Control?,What Does the Autonomic Nervous System Control? | NervLock,"Learn how the autonomic nervous system helps regulate heart rate, blood pressure, digestion, body temperature and sweating, pupil responses, and bladder function.",Pain &amp; Autonomic Health,N,"Jeehyun Ham, M.D.",N,,,,https://nervlocklab.com/blog/what-does-the-autonomic-nervous-system-control/,ko->https://nervlocklab.com/blog/자율신경-조절/; en->https://nervlocklab.com/blog/what-does-the-autonomic-nervous-system-control/; x-default->https://nervlocklab.com/blog/자율신경-조절/,Y,"Article, BreadcrumbList, ListItem, Organization, Person, WebPage",Y,6,2,6,N,,N,,A
why-cant-i-focus,blog/why-cant-i-focus/index.html,https://nervlocklab.com/blog/why-cant-i-focus/,en,Blog,"Why Can't I Focus? Dopamine, Sleep &amp; Adult ADHD | NervLock",Why Can't I Focus? It's Not Just Dopamine,"Why Can't I Focus? Dopamine, Sleep &amp; Adult ADHD | NervLock","Difficulty concentrating is not always a dopamine problem. Learn how sleep, stress, smartphones, mood, pain, medications, and adult ADHD can affect focus—and when to seek care.",Brain Health &amp; Lifestyle,N,"Jeehyun Ham, M.D.",N,,,,https://nervlocklab.com/blog/why-cant-i-focus/,ko->https://nervlocklab.com/blog/why-concentration-declines-dopamine-sleep-adhd/; en->https://nervlocklab.com/blog/why-cant-i-focus/; x-default->https://nervlocklab.com/blog/why-concentration-declines-dopamine-sleep-adhd/,Y,"Article, BreadcrumbList, ListItem, Organization, Person, WebPage",Y,12,4,12,N,,N,,A
