파일 경로,URL,언어,canonical 존재 여부,canonical 값,canonical 문제,hreflang 존재 여부,hreflang 값(ko/en/x-default),hreflang 문제,JSON-LD 존재 여부,JSON-LD 유형,JSON-LD 문법 유효성,JSON-LD 누락 필드,BreadcrumbList 존재 여부,sitemap 등재 여부,sitemap 불일치 내용,중복·유사 URL 여부,분류(T1~T5),권장 조치
blog/what-does-the-autonomic-nervous-system-control/index.html,https://nervlocklab.com/blog/what-does-the-autonomic-nervous-system-control/,en,Y,https://nervlocklab.com/blog/what-does-the-autonomic-nervous-system-control/,,Y,ko=https://nervlocklab.com/blog/자율신경-조절/; en=https://nervlocklab.com/blog/what-does-the-autonomic-nervous-system-control/; x-default=https://nervlocklab.com/blog/자율신경-조절/,,Y,"Article, BreadcrumbList",Y,,Y,Y,,,-,조치 불필요
blog/why-cant-i-focus/index.html,https://nervlocklab.com/blog/why-cant-i-focus/,en,Y,https://nervlocklab.com/blog/why-cant-i-focus/,,Y,ko=https://nervlocklab.com/blog/why-concentration-declines-dopamine-sleep-adhd/; en=https://nervlocklab.com/blog/why-cant-i-focus/; x-default=https://nervlocklab.com/blog/why-concentration-declines-dopamine-sleep-adhd/,,Y,"Article, BreadcrumbList",Y,,Y,Y,,,-,조치 불필요
blog/why-concentration-declines-dopamine-sleep-adhd/index.html,https://nervlocklab.com/blog/why-concentration-declines-dopamine-sleep-adhd/,ko,Y,https://nervlocklab.com/blog/why-concentration-declines-dopamine-sleep-adhd/,,Y,ko=https://nervlocklab.com/blog/why-concentration-declines-dopamine-sleep-adhd/; en=https://nervlocklab.com/blog/why-cant-i-focus/; x-default=https://nervlocklab.com/blog/why-concentration-declines-dopamine-sleep-adhd/,,Y,"Article, BreadcrumbList",Y,,Y,Y,,,-,조치 불필요
blog/기억력-치매-차이/index.html,https://nervlocklab.com/blog/기억력-치매-차이/,ko,Y,https://nervlocklab.com/blog/기억력-치매-차이/,,Y,ko=https://nervlocklab.com/blog/기억력-치매-차이/; en=https://nervlocklab.com/blog/memory-loss-and-dementia/; x-default=https://nervlocklab.com/blog/기억력-치매-차이/,,Y,"Article, BreadcrumbList",Y,,Y,Y,,,-,조치 불필요
blog/뇌-영양/index.html,https://nervlocklab.com/blog/뇌-영양/,ko,Y,https://nervlocklab.com/blog/뇌-영양/,,Y,ko=https://nervlocklab.com/blog/뇌-영양/; en=https://nervlocklab.com/blog/brain-nutrition/; x-default=https://nervlocklab.com/blog/뇌-영양/,,Y,"Article, BreadcrumbList",Y,,Y,Y,,,-,조치 불필요
blog/대상포진-신경통/index.html,https://nervlocklab.com/blog/대상포진-신경통/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/두근거림-어지럼-소화불편-자율신경/index.html,https://nervlocklab.com/blog/두근거림-어지럼-소화불편-자율신경/,ko,Y,https://nervlocklab.com/blog/두근거림-어지럼-소화불편-자율신경/,,Y,ko=https://nervlocklab.com/blog/두근거림-어지럼-소화불편-자율신경/; en=https://nervlocklab.com/blog/palpitations-dizziness-digestive-symptoms-autonomic-nervous-system/; x-default=https://nervlocklab.com/blog/두근거림-어지럼-소화불편-자율신경/,,Y,"Article, BreadcrumbList",Y,,Y,Y,,,-,조치 불필요
blog/레보도파-오해/index.html,https://nervlocklab.com/blog/레보도파-오해/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/말초신경병증/index.html,https://nervlocklab.com/blog/말초신경병증/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/브레인포그-신경과학/index.html,https://nervlocklab.com/blog/브레인포그-신경과학/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/브레인포그-원인/index.html,https://nervlocklab.com/blog/브레인포그-원인/,ko,Y,https://nervlocklab.com/blog/브레인포그-원인/,,Y,ko=https://nervlocklab.com/blog/브레인포그-원인/; en=https://nervlocklab.com/blog/brain-fog-causes/; x-default=https://nervlocklab.com/blog/브레인포그-원인/,,Y,"Article, BreadcrumbList",Y,,Y,Y,,,-,조치 불필요
blog/비타민B12-신경/index.html,https://nervlocklab.com/blog/비타민B12-신경/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/수면-기억력-집중력/index.html,https://nervlocklab.com/blog/수면-기억력-집중력/,ko,Y,https://nervlocklab.com/blog/수면-기억력-집중력/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/신경-건강-음식/index.html,https://nervlocklab.com/blog/신경-건강-음식/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/알파리포산/index.html,https://nervlocklab.com/blog/알파리포산/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/야간-신경-불편감/index.html,https://nervlocklab.com/blog/야간-신경-불편감/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/자율신경-무너졌을때/index.html,https://nervlocklab.com/blog/자율신경-무너졌을때/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/자율신경-조절/index.html,https://nervlocklab.com/blog/자율신경-조절/,ko,Y,https://nervlocklab.com/blog/자율신경-조절/,,Y,ko=https://nervlocklab.com/blog/자율신경-조절/; en=https://nervlocklab.com/blog/what-does-the-autonomic-nervous-system-control/; x-default=https://nervlocklab.com/blog/자율신경-조절/,,Y,"Article, BreadcrumbList",Y,,Y,Y,,,-,조치 불필요
blog/치매-10년전-신호/index.html,https://nervlocklab.com/blog/치매-10년전-신호/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/치매-위험-생활습관/index.html,https://nervlocklab.com/blog/치매-위험-생활습관/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/파킨슨-REM수면장애/index.html,https://nervlocklab.com/blog/파킨슨-REM수면장애/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/파킨슨-감별진단/index.html,https://nervlocklab.com/blog/파킨슨-감별진단/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/파킨슨-글루타치온/index.html,https://nervlocklab.com/blog/파킨슨-글루타치온/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/파킨슨-변비/index.html,https://nervlocklab.com/blog/파킨슨-변비/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/파킨슨-보호자/index.html,https://nervlocklab.com/blog/파킨슨-보호자/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/파킨슨-약물용량/index.html,https://nervlocklab.com/blog/파킨슨-약물용량/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/파킨슨-약물치료/index.html,https://nervlocklab.com/blog/파킨슨-약물치료/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/파킨슨-운동치료/index.html,https://nervlocklab.com/blog/파킨슨-운동치료/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/파킨슨-원인-도파민/index.html,https://nervlocklab.com/blog/파킨슨-원인-도파민/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/파킨슨-유전/index.html,https://nervlocklab.com/blog/파킨슨-유전/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/파킨슨-이상운동증/index.html,https://nervlocklab.com/blog/파킨슨-이상운동증/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/파킨슨-초기증상/index.html,https://nervlocklab.com/blog/파킨슨-초기증상/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/파킨슨-통증/index.html,https://nervlocklab.com/blog/파킨슨-통증/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/파킨슨증-원인/index.html,https://nervlocklab.com/blog/파킨슨증-원인/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
