Content ID,언어,파일 경로,원래 등급,재평가 등급,등급 변경 사유,D1 잔존,D2 잔존,D3 잔존,D4 잔존,D5 잔존,D6 잔존,본문 재검수 필요 여부,비고
homocysteine-dementia-b-vitamins,en,blog/homocysteine-dementia-b-vitamins/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
levodopa-long-term-misconceptions,en,blog/levodopa-long-term-misconceptions/index.html,B,B,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
memory-loss-and-dementia,en,blog/memory-loss-and-dementia/index.html,A,A,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
nerve-health-foods,en,blog/nerve-health-foods/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
nocturnal-nerve-discomfort,en,blog/nocturnal-nerve-discomfort/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
palpitations-dizziness-digestive-symptoms-autonomic-nervous-system,en,blog/palpitations-dizziness-digestive-symptoms-autonomic-nervous-system/index.html,A,A,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
parkinson-caregiver-guide,en,blog/parkinson-caregiver-guide/index.html,B,B,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
parkinson-constipation,en,blog/parkinson-constipation/index.html,B,B,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
parkinson-dopamine-neuroinflammation,en,blog/parkinson-dopamine-neuroinflammation/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
parkinson-dyskinesia,en,blog/parkinson-dyskinesia/index.html,B,B,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
parkinson-early-signs,en,blog/parkinson-early-signs/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
parkinson-exercise-therapy,en,blog/parkinson-exercise-therapy/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
parkinson-genetics,en,blog/parkinson-genetics/index.html,B,B,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
parkinson-glutathione,en,blog/parkinson-glutathione/index.html,B,B,"이번 재평가 대상은 아니나(원 등급 B, CTA 없음), rTG/포스파티딜세린/브레인포그/파킨슨 클러스터 전수 점검 지시에 따라 본문 재확인함 — FDA 규제 claim 인용 또는 'rational adjunct strategy' 등 적절히 헤지된 서술로, 독립적 과장 없음 확인. 원 등급 B 유지 권고.",해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,"N(확인 완료, 이상 없음)",
parkinson-medication-dosage,en,blog/parkinson-medication-dosage/index.html,B,B,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
parkinson-medication-management,en,blog/parkinson-medication-management/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
parkinson-pain-management,en,blog/parkinson-pain-management/index.html,B,B,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
parkinson-plus-syndromes,en,blog/parkinson-plus-syndromes/index.html,B,B,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
parkinson-rem-sleep-disorder,en,blog/parkinson-rem-sleep-disorder/index.html,B,B,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
parkinsonism-differential-causes,en,blog/parkinsonism-differential-causes/index.html,B,B,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
peripheral-neuropathy,en,blog/peripheral-neuropathy/index.html,D,B,"2026-07-20 3개 페이지 정밀 검수 후 본문 잔존 문장 ""This mechanistic synergy underpins their co-formulation in NervLock Nerve Care."" 삭제 완료(문장만 제거, 앞 문장의 커큐민/애플라핀 기전 설명은 원문 그대로 보존). CTA 제거로 해소되지 않았던 D2/D4 위험(질환 교육과 특정 제품명 직결, 미확정 제품 확정 노출)이 이번 문장 삭제로 해소됨.",N(CTA는 제거됨),N (2026-07-20 문장 삭제로 해소),N (2026-07-20 문장 삭제로 해소),N (2026-07-20 문장 삭제로 해소),Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상 / 2026-07-20 잔존 문장 삭제 완료
phosphatidylserine-memory,en,blog/phosphatidylserine-memory/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
postherpetic-neuralgia,en,blog/postherpetic-neuralgia/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
rTG-오메가3-차이,ko,blog/rTG-오메가3-차이/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
rtg-omega3-bioavailability,en,blog/rtg-omega3-bioavailability/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
sleep-memory-focus,en,blog/sleep-memory-focus/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
vitamin-b12-methylcobalamin,en,blog/vitamin-b12-methylcobalamin/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
vitamin-b12-nerve,en,blog/vitamin-b12-nerve/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
what-does-the-autonomic-nervous-system-control,en,blog/what-does-the-autonomic-nervous-system-control/index.html,A,A,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
why-cant-i-focus,en,blog/why-cant-i-focus/index.html,A,A,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
why-concentration-declines-dopamine-sleep-adhd,ko,blog/why-concentration-declines-dopamine-sleep-adhd/index.html,A,A,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
기억력-치매-차이,ko,blog/기억력-치매-차이/index.html,A,A,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
뇌-영양,ko,blog/뇌-영양/index.html,A,A,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
대상포진-신경통,ko,blog/대상포진-신경통/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
두근거림-어지럼-소화불편-자율신경,ko,blog/두근거림-어지럼-소화불편-자율신경/index.html,A,A,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
레보도파-오해,ko,blog/레보도파-오해/index.html,B,B,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
말초신경병증,ko,blog/말초신경병증/index.html,D,B,"2026-07-20 3개 페이지 정밀 검수 후 본문 잔존 문장 ""이러한 기전적 시너지가 NervLock 너브케어에서의 복합 처방 근거입니다."" 삭제 완료(문장만 제거, 앞 문장의 커큐민/애플라핀 기전 설명은 원문 그대로 보존). CTA 제거로 해소되지 않았던 D2/D4 위험(질환 교육과 특정 제품명 직결, 미확정 제품 확정 노출)이 이번 문장 삭제로 해소됨.",N(CTA는 제거됨),N (2026-07-20 문장 삭제로 해소),N (2026-07-20 문장 삭제로 해소),N (2026-07-20 문장 삭제로 해소),Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상 / 2026-07-20 잔존 문장 삭제 완료
브레인포그-신경과학,ko,blog/브레인포그-신경과학/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
브레인포그-원인,ko,blog/브레인포그-원인/index.html,A,A,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
비타민B12-신경,ko,blog/비타민B12-신경/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
수면-기억력-집중력,ko,blog/수면-기억력-집중력/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
신경-건강-음식,ko,blog/신경-건강-음식/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
알파리포산,ko,blog/알파리포산/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(검수자/검토일 필드 누락),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
